Name,City,State,Postal Code,Latitude,Longitude,Floorsize,Url,Price,Home Type,Perks,Listing Overview,Bedrooms,Bathrooms,User Views,User Saves,Days on Website,First Floor Dimensions,Flooring,Heating features,Cooling features,Appliances included,Interior features,Parking features,Number of Stories,Lot Size (sqft),Parcel Number,Architectural Style,Home Types,Year built,Sewer Information,Security features,Sub Division,Buyer Agency Compensation,Second Floor Dimensions,Total Parking Spaces,Garage Parking Spaces,Covered Parking Spaces,Community features,Carport Parking Spaces,Basement Dimensions,Third Floor Dimensions,Laundry features,Additional Structures,HOA Status,HOA Fee (monthly),Window Features,Interior Features,Indoor air quality,Water conservation,Construction elements,Lot features
2326 Dunloe Dr,Dallas,TX,75228,32.83657,-96.67495,1230,https://www.zillow.com/homedetails/2326-Dunloe-Dr-Dallas-TX-75228/26746417_zpid/,75000,House,,"AUCTIONEERS ANNOUNCEMENT. Bidding now OPEN with seller’s informed consent. An opening bid or starting bid may be more or less than indicated. Most auctions start at $1 at online public bidding sites with increasing increments. The Auctioneer has full authorized discretion of publishing starting bid and bid increments in the auction process live or online. (Message the Auctioneer about how to access the reserve.) Property may be purchased immediately as a Reserve Met is authorized. Make the bid and offer the price you are willing to pay ASAP, no matter what you are willing to pay. When bidding is active, see the last bid. Cash or Seller may consider financing offers. Submit offers to the Auctioneer. Subject to Terms and Conditions of Sale, Buyer Costs, as is Condition, Competitive Bids, Seller authorized reserved rights in the liberty of bidding, and Auctioneer Fees. (13) percent Buyer’s Premium applies in addition to offer Myers Jackson Auctioneer TDLR 17057.Chevron DownShow more",4,2,86576,4461,51 ,,"Carpet, Tile",Electric,"Central Air, Ceiling Fan(s), Electric","Dishwasher, Electric Range, Microwave","Decorative/Designer Lighting Fixtures, Granite Counters, High Speed Internet, Open Floorplan, Cable TV","Driveway, On Street",1,7666 ,00000390373000000," Traditional , DetachedProperty ",SingleFamily,1952," Electricity Available, Electricity Connected, Sewer Available, Water Available, Cable Available",Smoke Detector(s),Lake Park Estates,1-4%,,,,,,,,,,,,,,,,,,
3716 Canada Dr,Dallas,TX,75212,32.79258,-96.88194,2150,https://www.zillow.com/homedetails/3716-Canada-Dr-Dallas-TX-75212/2060195661_zpid/,484999,House,Big windowsNatural lightingHuge master bedroomTrinity river trailsWalk in closetDual sinksSliding door,"Beautiful contemporary modern new build is COMPLETE! Located in the ever changing Vibrant West Dallas. Open floor concept, kitchen with island over looking the living area with big windows for natural lighting. Second floor has a HUGE master bedroom with big windows for natural lighting, double shower, jetted tub, dual sinks and walk in closet. Secondary bedrooms are across the hall with each having a sliding door to access to the outdoor walk way that wraps around the front of the home for them nice cool mornings or breezing days. Stairway that leads you to up to the rooftop with beautiful views of the area where you can host dinner parties. Beautiful curb appeal with front entry 2 car garage with a yard on the side for them outdoor gatherings. Great location minutes away from Trinity Groves, Downtown, Trinity River Trails, Uptown, Victory Park, Katy Trail, I-30, I-35,Loop 12, Oak Cliff and Love Field Airport. BUYER AND BUYER AGENT TO VERIFY ALL INFORMATION AND MEASUREMENTS. NO FHAChevron DownShow more",3,3,33049,1897,74 , 10 x 16,"Carpet, Other, Wood","Central, Electric","Central Air, Ceiling Fan(s), Electric","Dishwasher, Electric Cooktop, Electric Oven, Disposal, Microwave","Double Vanity, Eat-in Kitchen, Granite Counters, High Speed Internet, Kitchen Island, Open Floorplan, Cable TV, Walk-In Closet(s)",,2,0.13 ,0000000000000000000000000," Contemporary/Modern , DetachedProperty ",SingleFamily,2023," Electricity Available, Sewer Available, Separate Meters, Water Available, Cable Available",,Olive - Dale 02,2.5%, 9 x 15,2,2,2,"Curbs, Sidewalks",,,,,,,,,,,,,
6513 Leana Ave,Dallas,TX,75241,32.666756,-96.78283,2263,https://www.zillow.com/homedetails/6513-Leana-Ave-Dallas-TX-75241/96496433_zpid/,399000,House,Lots of windowsOversized utility roomSpacious bedroomsFloor to ceiling windowsMaster bedroomWalk-in closetVa hospital,"Gorgeous 2 story house with 4 bedrooms & 2.5 bath. Spacious bedrooms, lots of windows and closets. Oversized, floor to ceiling windows offer beautiful views of the driving range. Master bedroom features walk-in closet. Three upstairs bedrooms are next to small game room study area. Oversized utility room can be used as second pantry. Stone countertops Modern fixtures. Open concept. Large, fenced back yard. Near Downtown Dallas, VA Hospital, and Bishop Arts. Also, close to Illinois Station Metro Park and Ride (Blue Line), Nationally Recognized Yvonne Ewell Townview Center TAG High School and Dallas Zoo! Priced to sell, hurry before it’s gone! P.S. We just complete the house! MOTIVATED SELLER!!Chevron DownShow more",4,3,15883,1398,51 , 15 x 15,"Carpet, Ceramic Tile, Laminate",,,"Dishwasher, Electric Range, Disposal","Granite Counters, Kitchen Island, Loft, Pantry, Vaulted Ceiling(s), Walk-In Closet(s)",,2,7187 ,00000640642000000, DetachedProperty ,SingleFamily,2023," Sewer Available, Water Available",,Alameda Heights,3%,,4,2,2,,2,,,,,,,,,,,,
5116 Terry St,Dallas,TX,75223,32.794533,-96.7577,2902,https://www.zillow.com/homedetails/5116-Terry-St-Dallas-TX-75223/26681012_zpid/,815500,House,Tenison golf coursePrivate balconyZen sand gardenHenderson aveCorner lotVessel sinksQuartz slabs,"GET INSTANT EQUITY! APPRAISED WELL OVER LIST PRICE!! Work-Of-Art Situated on a Corner Lot, 1 Block From the Santa Fe Bike Trail, Less than 1.5 miles from Entertainment and Restaurants on Greenville Ave and Henderson Ave, Sprouts, WholeFoods, and Tenison Golf Course.  Exterior Architectural Elements Extend Seamlessly Throughout the Open Floor Plan. The Great Room Welcomes Guests While Showcasing a Double Volume with 20-Ft Ceilings, a 6 Ft x 6 Ft Chandelier, Zen Sand Garden, 70” Fireplace, Dining Area and Massive 12’-6” Waterfall Island with Seating. Interior Courtyard with 14 Ft Maple Tree, 2 Balconies and Must See Luxury Lighting Package. All Bathrooms Include Floor-to-Ceiling Commercial Grade Tile with Wrap-Around Illuminated Shower Niches & Vessel Sinks on Quartz Slabs. 2nd Floor Loft Bridges to the Owners Suite Equipped with a Private Balcony & Lounge. The Floating Tub Deck Features a 67” Matte Black Freestanding Tub that Connects to the Luxury Resort-Style Ensuite & Walk-In-Closet.Chevron DownShow more",4,3,17672,1307,58 , 13 x 11,"Laminate, Tile","Central, Electric, Fireplace(s), Zoned","Central Air, Ceiling Fan(s), Electric, Multi Units, Zoned","Dishwasher, Electric Range, Electric Water Heater, Disposal","Built-in Features, Chandelier, Decorative/Designer Lighting Fixtures, Double Vanity, Granite Counters, High Speed Internet, Kitchen Island, Loft, Open Floorplan, Pantry, Vaulted Ceiling(s), Walk-In Closet(s), Wired for Sound",,2,7230 ,00000145753000000," Contemporary/Modern , DetachedProperty ",SingleFamily,2023," Electricity Available, Electricity Connected, Natural Gas Available, Sewer Available, Separate Meters, Underground Utilities, Water Available",,Caldwells R D,3%, 20 x 13,2,2,2,"Curbs, Sidewalks",,,,,,,,,,,,,
4231 W Lawther Dr,Dallas,TX,75214,32.83698,-96.727486,11915,https://www.zillow.com/homedetails/4231-W-Lawther-Dr-Dallas-TX-75214/162214039_zpid/,13977000,House,Game roomPool houseGourmet kitchenCustom cabinetry,"Welcome to this stunning estate located on the coveted Lawther Drive in Lakewood. Situated on 3.6+ acres of prime land along White Rock Lake, this property offers an unparalleled waterfront living experience. With 5 bedroom suites, 5 full baths, & 3 half baths, this home provides ample space & privacy for everyone. The interior boasts a gourmet kitchen with custom cabinetry & top-of-the-line Viking, Subzero, & Wolf appliances, perfect for the culinary enthusiast. Main living level features the primary & one additional suite in addition to 3 living areas. 2nd floor features 3 additional suites & game room with wet bar. Expansive 2,775 sq-ft basement for entertaining. Step outside to 13 car covered parking, 785 sq-ft full guest quarters, 3 stall barn, pool house, an 820 sq-ft workshop, & 2735 sq-ft of exterior patios & porches, ideal for entertaining guests or unwinding while taking in the breathtaking views. Don't miss this rare opportunity to own a piece of paradise on White Rock Lake.Chevron DownShow more",5,8,26789,1282,77 ,,"Marble, Stone, Wood","Central, Electric, Fireplace(s)","Central Air, Ceiling Fan(s), Electric, Multi Units, Zoned","Built-In Gas Range, Built-in Coffee Maker, Built-In Refrigerator, Double Oven, Dishwasher, Disposal, Microwave, Range, Some Commercial Grade, Wine Cooler","Wet Bar, Decorative/Designer Lighting Fixtures, High Speed Internet, Kitchen Island, Open Floorplan, Smart Home, Cable TV, Wired for Data, Walk-In Closet(s), Wired for Sound",,3,159429, 00000322201000000," Contemporary/Modern , DetachedProperty ",SingleFamily,2017," Sewer Available, Water Available, Cable Available","Security System, Carbon Monoxide Detector(s), Security Gate",White Rock Lake,3%, 23 x 20,13,8,1,,5, 77 x 47, 12 x 13," Laundry in Utility Room, Other","Cabana, Second Garage, Guest House, Outbuilding, Pool House, Workshop, Barn(s), Stable(s)",,,,,,,,
7704 Hull Ave,Dallas,TX,75216,32.719229999999996,-96.74701999999999,1500,https://www.zillow.com/homedetails/7704-Hull-Ave-Dallas-TX-75216/96517730_zpid/,375000,House,Wood floorsSpray-foam insulationCustom-built cabinetsStone fireplacePremium finishes,"MORDEN STYLE - 1500 - 2000 sqft open PLAN: 3 bedroom 2 bath and 4 bedroom 2 bath with a Study. Loaded with premium
finishes, including wood floors, granite, custom-built cabinets, stone fireplace,
spray-foam insulation, 11-16 SEER AC, 95% efficient furnace, A-frame patio & more!Chevron DownShow more",3,2,22296,1526,29 ,,,,,"Dishwasher, Electric Cooktop, Electric Oven, Electric Water Heater, Microwave, Vented Exhaust Fan","Built-in Features, Granite Counters, High Speed Internet, Kitchen Island",,1,5501 ,7638 001 00000," A-Frame , DetachedProperty ",SingleFamily,2024," Sewer Available, Water Available",,Jappa,Other3%,,4,2,2,,2,,,,,,,,,,,,
10211 Glen Vista Dr,Dallas,TX,75217,32.730183000000004,-96.64759000000001,1527,https://www.zillow.com/homedetails/10211-Glen-Vista-Dr-Dallas-TX-75217/2067374634_zpid/,265000,House,Built-in ovenCeiling fansSleek gas cooktopVinyl flooring throughoutNewly renovated homeCovered wood patioNew appliances,"Newly renovated home in the established Forest Grove neighborhood of Dallas, minute from I-30 and 635. This 4 bedrooms, 2 full baths offers a bright open concept living and kitchen space with great natural light. Recently installed vinyl flooring throughout. Fully-reimagined kitchen with updated cabinetry, new quartz countertops, and new appliances including a sleek gas cooktop and stainless hood, a built-in oven, and a dishwasher. Quartz double vanity, fresh tile flooring, and glass showers in the primary ensuite. Bath tub on secondary bathroom. New interior paint, ceiling fans, and LED lighting. Newly installed backyard fence and covered wood patio that provides wonderful shade. Too many upgrades to list! Great Location less than 16 minutes from Downtown Dallas. This move-in-ready home won’t last long!Chevron DownShow more",4,2,6264,604,11 ,,"Carpet, Vinyl","Central, Electric","Central Air, Electric","Dishwasher, Electric Oven, Gas Cooktop, Disposal, Gas Water Heater","Eat-in Kitchen, Cable TV",,2,7579 , 0066870D000300000, DetachedProperty ,SingleFamily,1995," Electricity Available, Electricity Connected, Natural Gas Available, Sewer Available, Separate Meters, Water Available, Cable Available",,Forest Grove 07,3%,,1,1,1,,,,," Washer Hookup, Gas Dryer Hookup",None,,,,,,,,
2430 Lawrence St,Dallas,TX,75215,32.75124,-96.75701,1225,https://www.zillow.com/homedetails/2430-Lawrence-St-Dallas-TX-75215/26696372_zpid/,270000,House,Nice-sized private fenced-in yard,"Modern one-story 2023 build with exquisite black and white finishes. A very experienced builder who uses top-of-the-line flooring countertops and attention to detail. Rapidly developing area and a transitioning street roughly 10 minutes from Downtown Dallas dining shopping and major attractions. The home has a nice-sized private fenced-in yard for entertaining and family living. All stainless steel appliances, stove,and dishwasher will be added upon closing. Please contact listing agent number 2 for all questions.Chevron DownShow more",4,2,1598,141,2 ,,"Luxury Vinyl Plank, Tile, Vinyl","Central, Electric","Central Air, Ceiling Fan(s), Electric","Dryer, Dishwasher, Electric Cooktop, Electric Range, Disposal, Microwave, Refrigerator, Washer","Decorative/Designer Lighting Fixtures, Eat-in Kitchen, Granite Counters, High Speed Internet, Kitchen Island, Open Floorplan, Pantry, Cable TV",,1,3963 ,00000207784000000," Colonial , Contemporary/Modern , DetachedProperty ",SingleFamily,2024," Sewer Available, Water Available, Cable Available",,S D Lawrence,3%,,2,,2,,2,,," Washer Hookup, In Hall",,,,,,,,,
814 N Clinton Ave,Dallas,TX,75208,32.752518,-96.8412,1180,https://www.zillow.com/homedetails/814-N-Clinton-Ave-Dallas-TX-75208/26712695_zpid/,550000,House,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9524 Saint Rosalie Dr,Dallas,TX,75217,32.673756,-96.6565,1167,https://www.zillow.com/homedetails/9524-Saint-Rosalie-Dr-Dallas-TX-75217/162382411_zpid/,240000,House,Outdoor kitchenDetached garageSpacious corner lotModern open floor planCovered patio,"Charming 3-bedroom, 1-bath property with easy access to downtown Dallas. Situated on a spacious corner lot, features include a detached garage with side entry, fire pit, deck, and a covered patio with an outdoor kitchen and bar perfect for entertaining. The interior boasts a modern open floor plan, recently remodeled for a comfortable living experience. The large bedrooms make this home perfect for a growing family or as an investment. 
Schedule a showing today!Chevron DownShow more",3,1,521,48,1, 10 x 10,,"Central, Natural Gas","Central Air, Ceiling Fan(s), Gas","Gas Oven, Gas Water Heater, Microwave","Eat-in Kitchen, Open Floorplan, Pantry, Cable TV",,1,16988,00000813883000000, DetachedProperty ,SingleFamily,1981," Natural Gas Available, Sewer Available, Water Available, Cable Available",,Teagarden Place #2,3%,,4,2,4,,2,,,,,,,,,,,,
