Name,City,State,Postal Code,Latitude,Longitude,Floorsize,Url,Price,Rooms,Home Type,Perks,Listing Overview,Website Traffic,Building Stats
"2326 Dunloe Dr, Dallas, TX 75228",Dallas,TX,75228,32.83657,-96.67495,"1,230",https://www.zillow.com/homedetails/2326-Dunloe-Dr-Dallas-TX-75228/26746417_zpid/,"$75,000","4 bds2 ba1,230 sqft","(' House for sale',)",,"AUCTIONEERS ANNOUNCEMENT. Bidding now OPEN with seller’s informed consent. An opening bid or starting bid may be more or less than indicated. Most auctions start at $1 at online public bidding sites with increasing increments. The Auctioneer has full authorized discretion of publishing starting bid and bid increments in the auction process live or online. (Message the Auctioneer about how to access the reserve.) Property may be purchased immediately as a Reserve Met is authorized. Make the bid and offer the price you are willing to pay ASAP, no matter what you are willing to pay. When bidding is active, see the last bid. Cash or Seller may consider financing offers. Submit offers to the Auctioneer. Subject to Terms and Conditions of Sale, Buyer Costs, as is Condition, Competitive Bids, Seller authorized reserved rights in the liberty of bidding, and Auctioneer Fees. (13) percent Buyer’s Premium applies in addition to offer Myers Jackson Auctioneer TDLR 17057.Chevron DownShow more","51 dayson Zillow|86,576views|4,461saves|","['Bedrooms: 4Bathrooms: 2Full bathrooms: 2', 'Level: First', 'Flooring: Carpet, Tile', 'Heating features: Electric', 'Cooling features: Central Air, Ceiling Fan(s), Electric', 'Appliances included: Dishwasher, Electric Range, Microwave', 'Interior features: Decorative/Designer Lighting Fixtures, Granite Counters, High Speed Internet, Open Floorplan, Cable TV', 'Total interior livable area: 1,230 sqftVirtual tour: View virtual tour', 'Parking features: Driveway, On Street', 'Levels: OneStories: 1Patio & porch details: CoveredResidential vegetation: Grassed', 'Lot size: 7,666 sqftLot features: Interior Lot', 'Parcel number: 00000390373000000Special conditions: Standard', 'Home type: SingleFamilyArchitectural style: Traditional,DetachedProperty subType: Single Family Residence', 'Construction materials: BrickFoundation: Pillar/Post/PierRoof: Composition', 'Year built: 1952', 'Sewer information: Public SewerWater information: PublicUtilities for property: Electricity Available, Electricity Connected, Sewer Available, Water Available, Cable Available', 'Security features: Smoke Detector(s)', 'Region: DallasSubdivision: Lake Park Estates', 'Buyer agency compensation: 1-4%']"
"3716 Canada Dr, Dallas, TX 75212",Dallas,TX,75212,32.79258,-96.88194,"2,150",https://www.zillow.com/homedetails/3716-Canada-Dr-Dallas-TX-75212/2060195661_zpid/,"$484,999","3 bds3 ba2,150 sqft","(' House for sale',)",Big windowsNatural lightingHuge master bedroomTrinity river trailsWalk in closetDual sinksSliding door,"Beautiful contemporary modern new build is COMPLETE! Located in the ever changing Vibrant West Dallas. Open floor concept, kitchen with island over looking the living area with big windows for natural lighting. Second floor has a HUGE master bedroom with big windows for natural lighting, double shower, jetted tub, dual sinks and walk in closet. Secondary bedrooms are across the hall with each having a sliding door to access to the outdoor walk way that wraps around the front of the home for them nice cool mornings or breezing days. Stairway that leads you to up to the rooftop with beautiful views of the area where you can host dinner parties. Beautiful curb appeal with front entry 2 car garage with a yard on the side for them outdoor gatherings. Great location minutes away from Trinity Groves, Downtown, Trinity River Trails, Uptown, Victory Park, Katy Trail, I-30, I-35,Loop 12, Oak Cliff and Love Field Airport. BUYER AND BUYER AGENT TO VERIFY ALL INFORMATION AND MEASUREMENTS. NO FHAChevron DownShow more","74 dayson Zillow|33,049views|1,897saves|","['Bedrooms: 3Bathrooms: 3Full bathrooms: 21/2 bathrooms: 1', 'Level: SecondDimensions: 10 x 10', 'Level: FirstDimensions: 10 x 16', 'Features: Kitchen Island, Stone CountersLevel: FirstDimensions: 8 x 10', 'Features: Jetted Tub, Multiple Shower Heads, Stone Counters, Separate Shower, Walk-In Closet(s)Level: SecondDimensions: 16 x 20', 'Level: SecondDimensions: 9 x 15', 'Flooring: Carpet, Other, Wood', 'Heating features: Central, Electric', 'Cooling features: Central Air, Ceiling Fan(s), Electric', 'Appliances included: Dishwasher, Electric Cooktop, Electric Oven, Disposal, Microwave', 'Interior features: Double Vanity, Eat-in Kitchen, Granite Counters, High Speed Internet, Kitchen Island, Open Floorplan, Cable TV, Walk-In Closet(s)', 'Total interior livable area: 2,150 sqftVirtual tour: View virtual tour', 'Total spaces: 2Parking features: Driveway, Garage Faces Front, Garage, Garage Door OpenerGarage spaces: 2Covered spaces: 2', 'Levels: TwoStories: 2Fencing: WoodWaterfront features: River Front', 'Lot size: 0.13 sqftLot features: Corner Lot, Few Trees', 'Parcel number: 0000000000000000000000000Attached to another structure: YesSpecial conditions: Builder Owned', 'Home type: SingleFamilyArchitectural style: Contemporary/Modern,DetachedProperty subType: Single Family Residence', 'Construction materials: StuccoFoundation: SlabRoof: Composition,Other', 'Year built: 2023', 'Sewer information: Public SewerWater information: PublicUtilities for property: Electricity Available, Sewer Available, Separate Meters, Water Available, Cable Available', 'Community features: Curbs, Sidewalks', 'Region: DallasSubdivision: Olive - Dale 02', 'Buyer agency compensation: 2.5%']"
"6513 Leana Ave, Dallas, TX 75241",Dallas,TX,75241,32.666756,-96.78283,"2,263",https://www.zillow.com/homedetails/6513-Leana-Ave-Dallas-TX-75241/96496433_zpid/,"$399,000","4 bds3 ba2,263 sqft","(' House for sale',)",Lots of windowsOversized utility roomSpacious bedroomsFloor to ceiling windowsMaster bedroomWalk-in closetVa hospital,"Gorgeous 2 story house with 4 bedrooms & 2.5 bath. Spacious bedrooms, lots of windows and closets. Oversized, floor to ceiling windows offer beautiful views of the driving range. Master bedroom features walk-in closet. Three upstairs bedrooms are next to small game room study area. Oversized utility room can be used as second pantry. Stone countertops Modern fixtures. Open concept. Large, fenced back yard. Near Downtown Dallas, VA Hospital, and Bishop Arts. Also, close to Illinois Station Metro Park and Ride (Blue Line), Nationally Recognized Yvonne Ewell Townview Center TAG High School and Dallas Zoo! Priced to sell, hurry before it’s gone! P.S. We just complete the house! MOTIVATED SELLER!!Chevron DownShow more","51 dayson Zillow|15,883views|1,398saves|","['Bedrooms: 4Bathrooms: 3Full bathrooms: 21/2 bathrooms: 1', 'Level: FirstDimensions: 9 x 11', 'Features: Breakfast Bar, Dual Sinks, Granite Counters, Kitchen Island, PantryLevel: FirstDimensions: 12 x 13', 'Features: Dual Sinks, Sitting Area in Primary, Walk-In Closet(s)Level: FirstDimensions: 16 x 18', 'Level: FirstDimensions: 15 x 15', 'Features: Dual Sinks, Granite CountersLevel: FirstDimensions: 8 x 14', 'Features: Ceiling Fan(s), Walk-In Closet(s)Level: SecondDimensions: 9 x 15', 'Features: Walk-In Closet(s)Level: SecondDimensions: 10 x 12', 'Features: Ceiling Fan(s), Walk-In Closet(s)Level: SecondDimensions: 11 x 12', 'Flooring: Carpet, Ceramic Tile, Laminate', 'Appliances included: Dishwasher, Electric Range, Disposal', 'Interior features: Granite Counters, Kitchen Island, Loft, Pantry, Vaulted Ceiling(s), Walk-In Closet(s)', 'Total interior livable area: 2,263 sqftVirtual tour: View virtual tour', 'Total spaces: 4Parking features: Covered, Direct Access, Driveway, Garage Faces Front, Guest, Gravel, Gated, Parking PadGarage spaces: 2Covered spaces: 2Carport spaces: 2', 'Levels: TwoStories: 2', 'Lot size: 7,187 sqft', 'Parcel number: 00000640642000000Attached to another structure: YesSpecial conditions: Builder Owned', 'Home type: SingleFamilyArchitectural style: DetachedProperty subType: Single Family Residence', 'Roof: Composition', 'Year built: 2023', 'Sewer information: Public SewerWater information: PublicUtilities for property: Sewer Available, Water Available', 'Region: DallasSubdivision: Alameda Heights', 'Buyer agency compensation: 3%']"
"5116 Terry St, Dallas, TX 75223",Dallas,TX,75223,32.794533,-96.7577,"2,902",https://www.zillow.com/homedetails/5116-Terry-St-Dallas-TX-75223/26681012_zpid/,"$815,500","4 bds3 ba2,902 sqft","(' House for sale',)",Tenison golf coursePrivate balconyZen sand gardenHenderson aveCorner lotVessel sinksQuartz slabs,"GET INSTANT EQUITY! APPRAISED WELL OVER LIST PRICE!! Work-Of-Art Situated on a Corner Lot, 1 Block From the Santa Fe Bike Trail, Less than 1.5 miles from Entertainment and Restaurants on Greenville Ave and Henderson Ave, Sprouts, WholeFoods, and Tenison Golf Course.  Exterior Architectural Elements Extend Seamlessly Throughout the Open Floor Plan. The Great Room Welcomes Guests While Showcasing a Double Volume with 20-Ft Ceilings, a 6 Ft x 6 Ft Chandelier, Zen Sand Garden, 70” Fireplace, Dining Area and Massive 12’-6” Waterfall Island with Seating. Interior Courtyard with 14 Ft Maple Tree, 2 Balconies and Must See Luxury Lighting Package. All Bathrooms Include Floor-to-Ceiling Commercial Grade Tile with Wrap-Around Illuminated Shower Niches & Vessel Sinks on Quartz Slabs. 2nd Floor Loft Bridges to the Owners Suite Equipped with a Private Balcony & Lounge. The Floating Tub Deck Features a 67” Matte Black Freestanding Tub that Connects to the Luxury Resort-Style Ensuite & Walk-In-Closet.Chevron DownShow more","58 dayson Zillow|17,672views|1,307saves|","['Bedrooms: 4Bathrooms: 3Full bathrooms: 3', 'Features: En Suite Bathroom, Sitting Area in Master, Walk-In Closet(s)Level: SecondDimensions: 22 x 13', 'Features: Dual Sinks, Double Vanity, En Suite Bathroom, Granite Counters, Hollywood Bath, Stone Counters, Separate ShowerLevel: SecondDimensions: 26 x 11', 'Features: Ceiling Fan(s), FireplaceLevel: FirstDimensions: 26 x 16', 'Level: FirstDimensions: 6 x 5', 'Level: FirstDimensions: 13 x 11', 'Level: FirstDimensions: 8 x 7', 'Level: FirstDimensions: 13 x 11', 'Features: Built-in Features, Granite Counters, Kitchen Island, Pantry, Pot Filler, Stone CountersLevel: FirstDimensions: 13 x 16', 'Level: FirstDimensions: 13 x 11', 'Level: SecondDimensions: 20 x 13', 'Flooring: Laminate, Tile', 'Heating features: Central, Electric, Fireplace(s), Zoned', 'Cooling features: Central Air, Ceiling Fan(s), Electric, Multi Units, Zoned', 'Appliances included: Dishwasher, Electric Range, Electric Water Heater, Disposal', 'Interior features: Built-in Features, Chandelier, Decorative/Designer Lighting Fixtures, Double Vanity, Granite Counters, High Speed Internet, Kitchen Island, Loft, Open Floorplan, Pantry, Vaulted Ceiling(s), Walk-In Closet(s), Wired for Sound', 'Total interior livable area: 2,902 sqftTotal number of fireplaces: 1Fireplace features: Blower Fan, Decorative, Electric, Family RoomVirtual tour: View virtual tour', 'Total spaces: 2Parking features: Alley Access, Driveway, Garage, Garage Door Opener, Inside Entrance, Kitchen Level, Lighted, Garage Faces RearGarage spaces: 2Covered spaces: 2', 'Levels: TwoStories: 2Exterior features: Balcony, Lighting, Private Yard, Rain GuttersPatio & porch details: Balcony, CoveredFencing: Back Yard,Fenced,Privacy,WoodResidential vegetation: Grassed', 'Lot size: 7,230 sqftLot size dimensions: 7231Lot features: Corner Lot, Landscaped', 'Parcel number: 00000145753000000Special conditions: Builder OwnedExclusions: All decorative and staging items.  Any construction related material and tools. Security Cameras and equipment.', 'Home type: SingleFamilyArchitectural style: Contemporary/Modern,DetachedProperty subType: Single Family Residence', 'Foundation: Slab', 'Year built: 2023', 'Sewer information: Public SewerWater information: PublicUtilities for property: Electricity Available, Electricity Connected, Natural Gas Available, Sewer Available, Separate Meters, Underground Utilities, Water Available', 'Community features: Curbs, Sidewalks', 'Region: DallasSubdivision: Caldwells R D', 'Buyer agency compensation: 3%']"
"4231 W Lawther Dr, Dallas, TX 75214",Dallas,TX,75214,32.83698,-96.727486,"11,915",https://www.zillow.com/homedetails/4231-W-Lawther-Dr-Dallas-TX-75214/162214039_zpid/,"$13,977,000","5 bds8 ba11,915 sqft","(' House for sale',)",Game roomPool houseGourmet kitchenCustom cabinetry,"Welcome to this stunning estate located on the coveted Lawther Drive in Lakewood. Situated on 3.6+ acres of prime land along White Rock Lake, this property offers an unparalleled waterfront living experience. With 5 bedroom suites, 5 full baths, & 3 half baths, this home provides ample space & privacy for everyone. The interior boasts a gourmet kitchen with custom cabinetry & top-of-the-line Viking, Subzero, & Wolf appliances, perfect for the culinary enthusiast. Main living level features the primary & one additional suite in addition to 3 living areas. 2nd floor features 3 additional suites & game room with wet bar. Expansive 2,775 sq-ft basement for entertaining. Step outside to 13 car covered parking, 785 sq-ft full guest quarters, 3 stall barn, pool house, an 820 sq-ft workshop, & 2735 sq-ft of exterior patios & porches, ideal for entertaining guests or unwinding while taking in the breathtaking views. Don't miss this rare opportunity to own a piece of paradise on White Rock Lake.Chevron DownShow more","77 dayson Zillow|26,789views|1,282saves|","['Bedrooms: 5Bathrooms: 8Full bathrooms: 51/2 bathrooms: 3', 'Features: Built-in FeaturesLevel: FirstDimensions: 12 x 21', 'Features: Breakfast Bar, Built-in Features, Dual Sinks, Kitchen Island, Pantry, Pot Filler, Stone Counters, Sink, Walk-In PantryLevel: FirstDimensions: 19 x 26', 'Features: Closet Cabinetry, En Suite Bathroom, Walk-In Closet(s)Level: FirstDimensions: 20 x 20', 'Features: Closet Cabinetry, Ceiling Fan(s), En Suite Bathroom, Split Bedrooms, Walk-In Closet(s)Level: SecondDimensions: 17 x 17', 'Features: Closet Cabinetry, En Suite Bathroom, Split Bedrooms, Walk-In Closet(s)Level: SecondDimensions: 19 x 23', 'Level: BasementDimensions: 77 x 47', 'Features: FireplaceLevel: FirstDimensions: 20 x 21', 'Features: Ceiling Fan(s)Level: FirstDimensions: 26 x 24', 'Features: Closet Cabinetry, Dual Sinks, En Suite Bathroom, Fireplace, Garden Tub/Roman Tub, Separate Shower, Steam Shower, Walk-In Closet(s)Level: FirstDimensions: 28 x 19', 'Features: Built-in Features, Utility Room, Utility SinkLevel: SecondDimensions: 10 x 16', 'Level: SecondDimensions: 13 x 27', 'Level: ThirdDimensions: 12 x 13', 'Level: SecondDimensions: 23 x 20', 'Features: Closet Cabinetry, Ceiling Fan(s), En Suite Bathroom, Split Bedrooms, Walk-In Closet(s)Level: SecondDimensions: 16 x 23', 'Flooring: Marble, Stone, Wood', 'Heating features: Central, Electric, Fireplace(s)', 'Cooling features: Central Air, Ceiling Fan(s), Electric, Multi Units, Zoned', 'Appliances included: Built-In Gas Range, Built-in Coffee Maker, Built-In Refrigerator, Double Oven, Dishwasher, Disposal, Microwave, Range, Some Commercial Grade, Wine CoolerLaundry features: Laundry in Utility Room, Other', 'Interior features: Wet Bar, Decorative/Designer Lighting Fixtures, High Speed Internet, Kitchen Island, Open Floorplan, Smart Home, Cable TV, Wired for Data, Walk-In Closet(s), Wired for Sound', 'Total interior livable area: 11,915 sqftTotal number of fireplaces: 2Fireplace features: Bedroom, Gas Starter, Living Room, Wood BurningVirtual tour: View virtual tour', 'Total spaces: 13Parking features: Additional Parking, Concrete, Carport, Electric Gate, Garage, Garage Door Opener, Heated Garage, Oversized, Parking Lot, Workshop in GarageGarage spaces: 8Covered spaces: 13Carport spaces: 5', 'Levels: Three Or MorePool features: Diving Board, Gunite, In Ground, Pool Cover, Water FeatureExterior features: Balcony, Garden, Lighting, Private Entrance, Private Yard, StoragePatio & porch details: Rooftop, Screened, Balcony, CoveredFencing: Electric,Fenced,Gate,MetalView description: WaterWaterfront features: Lake Front, WaterfrontWaterbody name: White RockHas waterview: YesWaterview: Water', 'Lot size: 3.66 AcresLot features: Acreage, Back Yard, Irregular Lot, Lawn, Landscaped, Many Trees, Sprinkler System, Waterfront', 'Additional structures included: Cabana, Second Garage, Guest House, Outbuilding, Pool House, Workshop, Barn(s), Stable(s)Parcel number: 00000322201000000Special conditions: StandardOther equipment: Generator, Home Theater', 'Home type: SingleFamilyArchitectural style: Contemporary/Modern,DetachedProperty subType: Single Family Residence', 'Construction materials: Rock, Stone, Stucco, Wood SidingFoundation: Pillar/Post/PierRoof: Metal,Other', 'Year built: 2017', 'Sewer information: Public SewerWater information: PublicUtilities for property: Sewer Available, Water Available, Cable Available', 'Security features: Security System, Carbon Monoxide Detector(s), Security Gate', 'Region: DallasSubdivision: White Rock Lake', 'Buyer agency compensation: 3%']"
"7704 Hull Ave, Dallas, TX 75216",Dallas,TX,75216,32.71923,-96.74702,"1,500",https://www.zillow.com/homedetails/7704-Hull-Ave-Dallas-TX-75216/96517730_zpid/,"$375,000","3 bds2 ba1,500 sqft","(' House for sale',)",Wood floorsSpray-foam insulationCustom-built cabinetsStone fireplacePremium finishes,"MORDEN STYLE - 1500 - 2000 sqft open PLAN: 3 bedroom 2 bath and 4 bedroom 2 bath with a Study. Loaded with premium
finishes, including wood floors, granite, custom-built cabinets, stone fireplace,
spray-foam insulation, 11-16 SEER AC, 95% efficient furnace, A-frame patio & more!Chevron DownShow more","29 dayson Zillow|22,296views|1,526saves|Likely to sell faster than 83 % nearby","['Bedrooms: 3Bathrooms: 2Full bathrooms: 2', 'Level: First', 'Level: First', 'Level: First', 'Level: First', 'Appliances included: Dishwasher, Electric Cooktop, Electric Oven, Electric Water Heater, Microwave, Vented Exhaust Fan', 'Interior features: Built-in Features, Granite Counters, High Speed Internet, Kitchen Island', 'Total interior livable area: 1,500 sqftVirtual tour: View virtual tour', 'Total spaces: 4Parking features: Garage - Attached, CarportGarage spaces: 2Covered spaces: 2Carport spaces: 2', 'Levels: OneStories: 1', 'Lot size: 5,501 sqft', 'Parcel number: 7638 001 00000Special conditions: Builder Owned', 'Home type: SingleFamilyArchitectural style: A-Frame,DetachedProperty subType: Single Family Residence', 'Construction materials: Brick, Stucco', 'Year built: 2024', 'Sewer information: Public SewerWater information: PublicUtilities for property: Sewer Available, Water Available', 'Region: DallasSubdivision: Jappa', 'Buyer agency compensation: Other3%']"
"10211 Glen Vista Dr, Dallas, TX 75217",Dallas,TX,75217,32.730183,-96.64759,"1,527",https://www.zillow.com/homedetails/10211-Glen-Vista-Dr-Dallas-TX-75217/2067374634_zpid/,"$265,000","4 bds2 ba1,527 sqft","(' House for sale',)",Built-in ovenCeiling fansSleek gas cooktopVinyl flooring throughoutNewly renovated homeCovered wood patioNew appliances,"Newly renovated home in the established Forest Grove neighborhood of Dallas, minute from I-30 and 635. This 4 bedrooms, 2 full baths offers a bright open concept living and kitchen space with great natural light. Recently installed vinyl flooring throughout. Fully-reimagined kitchen with updated cabinetry, new quartz countertops, and new appliances including a sleek gas cooktop and stainless hood, a built-in oven, and a dishwasher. Quartz double vanity, fresh tile flooring, and glass showers in the primary ensuite. Bath tub on secondary bathroom. New interior paint, ceiling fans, and LED lighting. Newly installed backyard fence and covered wood patio that provides wonderful shade. Too many upgrades to list! Great Location less than 16 minutes from Downtown Dallas. This move-in-ready home won’t last long!Chevron DownShow more","11 dayson Zillow|6,264views|604saves|Likely to sell faster than 96 % nearby","['Bedrooms: 4Bathrooms: 2Full bathrooms: 2', 'Level: First', 'Level: First', 'Flooring: Carpet, Vinyl', 'Heating features: Central, Electric', 'Cooling features: Central Air, Electric', 'Appliances included: Dishwasher, Electric Oven, Gas Cooktop, Disposal, Gas Water HeaterLaundry features: Washer Hookup, Gas Dryer Hookup', 'Interior features: Eat-in Kitchen, Cable TV', 'Total interior livable area: 1,527 sqftVirtual tour: View virtual tour', 'Total spaces: 1Parking features: Alley Access, DrivewayGarage spaces: 1Covered spaces: 1', 'Levels: TwoStories: 2Exterior features: Deck, Private YardPatio & porch details: Patio, Covered, DeckFencing: Back Yard,Fenced,Wood', 'Lot size: 7,579 sqft', 'Additional structures included: NoneParcel number: 0066870D000300000Special conditions: Standard', 'Home type: SingleFamilyArchitectural style: DetachedProperty subType: Single Family Residence', 'Construction materials: BrickFoundation: SlabRoof: Shingle', 'Year built: 1995', 'Sewer information: Public SewerWater information: PublicUtilities for property: Electricity Available, Electricity Connected, Natural Gas Available, Sewer Available, Separate Meters, Water Available, Cable Available', 'Energy efficient items: Windows', 'Region: DallasSubdivision: Forest Grove 07', 'Buyer agency compensation: 3%']"
"2430 Lawrence St, Dallas, TX 75215",Dallas,TX,75215,32.75124,-96.75701,"1,225",https://www.zillow.com/homedetails/2430-Lawrence-St-Dallas-TX-75215/26696372_zpid/,"$270,000","4 bds2 ba1,225 sqft","(' House for sale',)",Nice-sized private fenced-in yard,"Modern one-story 2023 build with exquisite black and white finishes. A very experienced builder who uses top-of-the-line flooring countertops and attention to detail. Rapidly developing area and a transitioning street roughly 10 minutes from Downtown Dallas dining shopping and major attractions. The home has a nice-sized private fenced-in yard for entertaining and family living. All stainless steel appliances, stove,and dishwasher will be added upon closing. Please contact listing agent number 2 for all questions.Chevron DownShow more","2 dayson Zillow|1,598views|141saves|Likely to sell faster than 99 % nearby","['Bedrooms: 4Bathrooms: 2Full bathrooms: 2', 'Features: En Suite Bathroom, Walk-In Closet(s)Level: First', 'Level: First', 'Features: Ceiling Fan(s)Level: First', 'Features: Ceiling Fan(s)Level: First', 'Features: Granite CountersLevel: First', 'Features: Ceiling Fan(s)Level: First', 'Features: Granite Counters, Kitchen Island, PantryLevel: First', 'Features: Ceiling Fan(s)', 'Flooring: Luxury Vinyl Plank, Tile, Vinyl', 'Heating features: Central, Electric', 'Cooling features: Central Air, Ceiling Fan(s), Electric', 'Appliances included: Dryer, Dishwasher, Electric Cooktop, Electric Range, Disposal, Microwave, Refrigerator, WasherLaundry features: Washer Hookup, In Hall', 'Interior features: Decorative/Designer Lighting Fixtures, Eat-in Kitchen, Granite Counters, High Speed Internet, Kitchen Island, Open Floorplan, Pantry, Cable TV', 'Total interior livable area: 1,225 sqftVirtual tour: View virtual tour', 'Total spaces: 2Parking features: Additional Parking, Concrete, DrivewayCovered spaces: 2Carport spaces: 2', 'Levels: OneStories: 1Exterior features: Private YardPatio & porch details: Awning(s)Fencing: Wood', 'Lot size: 3,963 sqftLot features: Few Trees', 'Parcel number: 00000207784000000Special conditions: Builder Owned', 'Home type: SingleFamilyArchitectural style: Colonial,Contemporary/Modern,DetachedProperty subType: Single Family Residence', 'Construction materials: Wood SidingFoundation: SlabRoof: Composition,Shingle', 'Year built: 2024', 'Sewer information: Public SewerWater information: PublicUtilities for property: Sewer Available, Water Available, Cable Available', 'Region: DallasSubdivision: S D Lawrence', 'Buyer agency compensation: 3%']"
"814 N Clinton Ave, Dallas, TX 75208",Dallas,TX,75208,32.752518,-96.8412,"1,180",https://www.zillow.com/homedetails/814-N-Clinton-Ave-Dallas-TX-75208/26712695_zpid/,"$550,000","2 bds1 ba1,180 sqft","(' House for sale',)",,,,[]
"9524 Saint Rosalie Dr, Dallas, TX 75217",Dallas,TX,75217,32.673756,-96.6565,"1,167",https://www.zillow.com/homedetails/9524-Saint-Rosalie-Dr-Dallas-TX-75217/162382411_zpid/,"$240,000","3 bds1 ba1,167 sqft","(' House for sale',)",Outdoor kitchenDetached garageSpacious corner lotModern open floor planCovered patio,"Charming 3-bedroom, 1-bath property with easy access to downtown Dallas. Situated on a spacious corner lot, features include a detached garage with side entry, fire pit, deck, and a covered patio with an outdoor kitchen and bar perfect for entertaining. The interior boasts a modern open floor plan, recently remodeled for a comfortable living experience. The large bedrooms make this home perfect for a growing family or as an investment. 
Schedule a showing today!Chevron DownShow more",1 dayon Zillow|521views|48saves|,"['Bedrooms: 3Bathrooms: 1Full bathrooms: 1', 'Level: FirstDimensions: 13 x 12', 'Level: FirstDimensions: 12 x 12', 'Level: FirstDimensions: 16 x 11', 'Level: FirstDimensions: 10 x 10', 'Heating features: Central, Natural Gas', 'Cooling features: Central Air, Ceiling Fan(s), Gas', 'Appliances included: Gas Oven, Gas Water Heater, Microwave', 'Interior features: Eat-in Kitchen, Open Floorplan, Pantry, Cable TV', 'Total interior livable area: 1,167 sqftVirtual tour: View virtual tour', 'Total spaces: 4Parking features: Additional Parking, Carport, Driveway, Garage, Gated, Deck, Garage Faces Side, Boat, RV Access/ParkingGarage spaces: 2Covered spaces: 4Carport spaces: 2', 'Levels: OneStories: 1Exterior features: Fire Pit, Outdoor Grill, Outdoor KitchenPatio & porch details: CoveredFencing: Front Yard,Perimeter,Wrought Iron', 'Lot size: 0.39 AcresLot features: Back Yard, Corner Lot, Interior Lot, Lawn, Few Trees', 'Parcel number: 00000813883000000Attached to another structure: YesSpecial conditions: Standard', 'Home type: SingleFamilyArchitectural style: DetachedProperty subType: Single Family Residence', 'Year built: 1981', 'Sewer information: Public SewerWater information: PublicUtilities for property: Natural Gas Available, Sewer Available, Water Available, Cable Available', 'Region: DallasSubdivision: Teagarden Place #2', 'Buyer agency compensation: 3%']"
